"model","term","estimate","std_err","p_value"
"OLS","(Intercept)",38.4073063502783,4.86615767724568,1.58199731777886e-14
"OLS","exposure_pp",-0.212217212264283,0.140004502886671,0.130141142078144
"OLS","pct_college",-0.00355126200923848,0.0115317124990091,0.758231014832361
"OLS","pct_white",-0.0538240921353728,0.00414260058778814,6.77594439493692e-34
"OLS","log_income",-2.6541530571156,0.459554370190367,1.27762911173022e-08
"SAR","(Intercept)",28.6284564228786,4.57423479241555,3.88366894199521e-10
"SAR","exposure_pp",-0.168088556882212,0.125066088335217,0.178949074257872
"SAR","pct_college",-0.0104249898196596,0.0102884009143644,0.31092834340483
"SAR","pct_white",-0.0409104747772629,0.00424835623297766,0
"SAR","log_income",-2.04317350103784,0.421227628534494,1.23137531637951e-06
"SEM","(Intercept)",45.3358677412931,4.85332613856041,0
"SEM","exposure_pp",-0.203135207757307,0.134282261074484,0.130343708667553
"SEM","pct_college",-0.0201369069373435,0.00994285881875205,0.0428403361638301
"SEM","pct_white",-0.0705531435530174,0.0048486848387204,0
"SEM","log_income",-3.1273288330541,0.45307264823559,5.10991249313975e-12
"SAR","rho (spatial lag)",0.467986359748067,0.0438046743051789,0
"SEM","lambda (spatial error)",0.679385818812447,0.0382555826413758,0
